id,Dothistroma_septosporum,Coleosporium_tussilaginis,Cyclaneusma_minus,Gremmenia_infestans,Gremmeniella_abietina,Lophodermella_conjuncta,Lophodermium_conigenum,Lophodermium_seditiosum,Pachyramichloridium_pini,Rhizosphaera_kalkhoffii,Sirococcus_piceicola
7050,0.005465327,0,0,2.11152E-05,0,7.03841E-05,0.000295613,0,0,6.33457E-05,0
7230,0.295952297,0,0,9.6595E-05,0,0.011127004,0.001367191,0,0,0.000345513,0
7329,0.107648184,0,0,0,0,0,0.001203464,5.62366E-05,0,6.18603E-05,0
7049,0.009171327,0,0,0,0,1.23937E-05,0.000167315,0,0,0,0
7464,0.122232081,0,0,0.000107255,0,0.000268138,0.001735586,0.00010238,0,0.017160854,0
7032,0.14924378,0,0,4.59825E-05,0,3.44869E-05,0.000387019,0,0.000157107,0,0
7439,0.125517797,0,0,2.01576E-05,0,0,0.000268768,0,0,0.000819741,0
7592,0.089202521,0,0,0.000116972,0,5.68148E-05,0.000297442,0.000100261,0,0,0
7611,0.098294286,0,0,0.000252207,0,0,0.002203491,0.000119466,0,0.001712351,0
7174,0.110349178,0.000190483,0,3.74721E-05,0,0.000103048,0.001423941,5.30855E-05,0,0.000418439,0
7184,0.035474223,0,0,2.78806E-05,0,3.04152E-05,0.000390328,1.77422E-05,7.60379E-06,7.85725E-05,0
7453,0.070628647,0.000209131,0,0,0,0.007094757,0.001955372,0,0,5.22827E-05,0
7541,0.141260103,1.57012E-05,0,0,0,7.85062E-05,0.002182472,0,0,0.001067684,0
7099,0.29060928,0,0,0.000134499,0,0.000376597,0.003609953,0,0,0.000145259,0
7142,0.025725127,0,0,0.000228997,0,0,0.001254197,4.22763E-05,0,0.002268828,0
7346,0.14713432,0,0,0.000114637,0,3.98738E-05,0.000956971,0,9.96845E-05,0.002586813,0
7660,0.102128749,0,0,5.31342E-05,0,0.000999889,0.000560324,0,0,0.000188385,0
7232,0.212869219,0,0,7.04057E-05,0,0.002539298,0.002576848,1.87748E-05,0,0.000211217,0
7238,0.17087975,0,0,4.67579E-05,0,2.3379E-05,0.002510316,0.00012274,0,0.000976072,0
7409,0.125743622,0,0,0,0,0.00020166,0.000789836,7.98239E-05,0,0.000226868,0
7504,0.051292409,0,0,4.20774E-05,0,0,3.78697E-05,0,0,0.004506495,0
7039,0.096505599,0,0,0,0,0.000594388,0.000569414,0,0,0.000264727,0
7055,0.151661541,0,0,0,0,0.008690564,0.001438052,0.005702404,0,0.000610083,0
7542,0.042208848,0,0,0,0,5.80909E-05,0.000755182,0.000121991,0,0.000261409,0
7590,0.081005495,0,0,0.000167637,0,0.007322877,0.000294387,0.000114484,0,0.001745879,0
7126,0.053242781,0,0,1.55529E-05,0,0.000176266,0.000404376,0,0,0.00010887,0
7657,0.323035697,0,0,4.06011E-05,0,0,0.000793977,0,0,0.18390032,0
7171,0.040350242,0,0,5.49544E-05,0,1.37386E-05,0.001731062,0,0,0.000664032,0
7326,0.177471006,0,0,3.1016E-05,0,7.49553E-05,0.004267286,2.06773E-05,0,0.000338591,0
7412,0.194042529,0,0,0,0,2.3995E-05,0.000575879,2.8794E-05,0,6.23869E-05,0
7600,0.202147506,0,0,0,0,0.001919139,0.000327004,0,0,0.0003002,0
7181,0.027432856,0,0,1.98358E-05,0,0.000103587,0.00018293,8.81589E-06,0.00016089,0.000158686,0
7224,0.149886359,0,0,0,0,2.14417E-05,0.003250568,0,0,0.000304473,0
7227,0.168358106,0,0,0,0,0.001864035,0.001107124,0,0,0.000154395,0
7268,0.029933982,0,0,2.18087E-05,0,3.11553E-05,0.001563994,2.18087E-05,0,8.72348E-05,0
7069,0.161018266,0.000580209,0,0,0,4.14435E-05,0.000973922,7.77065E-05,0,0.001093072,0
7141,0.120357361,0,0,8.54113E-05,0,1.70823E-05,0.000990771,2.56234E-05,0,0.000251963,0
7500,0.253908828,0,0,0.000125211,0,1.60986E-05,0.001758324,0,0,0.031168669,0
7510,0.365436169,0,0,6.03777E-05,0,0,0.000525286,4.22644E-05,0,0.0044438,0
7156,0.254021025,0,0,3.59239E-05,0,0,0.007831406,0,0,0.127007247,0
7237,0.1831684,0,0,9.57493E-05,0,0,0.00112083,2.81616E-05,0,0.005328167,0
7245,0.312806507,0,0,1.7329E-05,0,1.03974E-05,0.001043208,5.19871E-05,0,0.001701712,0
7514,0.37144074,0,0,0,0,0,0.000925886,0,0,0.004086243,0
7003,0.093435306,5.13039E-05,0,8.42849E-05,0,3.2981E-05,0.002447927,0,0,0.000106272,0
7267,0.002274537,2.53784E-05,0,4.44122E-05,0,0,0.000329919,0,0,0,0
7607,0.144837609,0,0,0,0,0,0.001332184,0,0,0.025190388,0
7663,0.080133295,0,0,0.000160652,0,0.000270814,0.000523267,0,0,0.000160652,0
7132,0.216842131,0,0,0,0,0,0.04213208,2.88097E-05,0,0.000930141,8.23133E-06
7146,0.044640481,0,0,4.43502E-05,0,0,0.015627394,0.000161273,0,0.000423343,0
7334,0.195671352,9.21689E-05,0,0,0,0,0.000454261,3.62092E-05,0.000105336,0.000148129,0
7509,0.150758502,9.05674E-06,0,0,0,0,0.001544174,2.71702E-05,0,0.00066567,0
7019,0.07754781,0,0,7.37427E-05,0,0,0.000958655,7.37427E-05,0,0.000294971,0
7378,0.110704386,0,0,3.07977E-05,0,1.75987E-05,0.001350697,0,0,0.101399094,0
7455,0.110469428,0,0,0,0,0,0.00060791,2.83691E-05,0,0.000141846,0
7585,0.084340603,5.65264E-05,0,0,0,1.25614E-05,0.000986073,0.000160158,0,0,0
