"OTU_string"	"AC1-7230-T3-ITS"	"AC7-7032-T3-ITS"	"AC7-7611-T3-ITS"	"AC8-7453-T3-ITS"	"AC8-7541-T3-ITS"	"AC9-7099-T3-ITS"	"AC9-7346-T3-ITS"	"BB1-7232-T3-ITS"	"BB1-7238-T3-ITS"	"BB1-7409-T3-ITS"	"BB2-7039-T3-ITS"	"BB2-7055-T3-ITS"	"BB2-7542-T3-ITS"	"BB3-7126-T3-ITS"	"BB5-7326-T3-ITS"	"BB5-7412-T3-ITS"	"BB7-7224-T3-ITS"	"BB7-7227-T3-ITS"	"BE2-7069-T3-ITS"	"BE2-7510-T3-ITS"	"BE3-7156-T3-ITS"	"BE3-7514-T3-ITS"	"BE4-7003-T3-ITS"	"BE4-7607-T3-ITS"	"BE5-7132-T3-ITS"	"BE5-7509-T3-ITS"	"BE7-7378-T3-ITS"	"BE7-7455-T3-ITS"	"BW10-7357-T3-ITS"	"BW10-7396-T3-ITS"	"BW10-7534-T3-ITS"	"BW10-7633-T3-ITS"	"BW2-7025-T3-ITS"	"BW2-7261-T3-ITS"	"BW3-7101-T3-ITS"	"BW3-7594-T3-ITS"	"BW6-7035-T3-ITS"	"BW6-7284-T3-ITS"	"BW6-7567-T3-ITS"	"BW7-7506-T3-ITS"	"BW7-7581-T3-ITS"	"CG2-7072-T3-ITS"	"CG2-7160-T3-ITS"	"CG3-7382-T3-ITS"	"CG3-7515-T3-ITS"	"CG4-7097-T3-ITS"	"CG4-7218-T3-ITS"	"CG4-7406-T3-ITS"	"CG6-7551-T3-ITS"	"CG7-7197-T3-ITS"	"CG7-7574-T3-ITS"	"CG8-7544-T3-ITS"	"CR10-7348-T3-ITS"	"CR10-7497-T3-ITS"	"CR10-7549-T3-ITS"	"CR3-7445-T3-ITS"	"CR3-7619-T3-ITS"	"CR3-7642-T3-ITS"	"CR4-7135-T3-ITS"	"CR4-7671-T3-ITS"	"CR7-7154-T3-ITS"	"CR7-7648-T3-ITS"	"CR9-7320-T3-ITS"	"CR9-7389-T3-ITS"	"EP7-Amp-Blank-T3-ITS"	"EP7-DNAblank-T3-ITS"	"EP7-Idx-Blank-T3-ITS"	"EP7-Pine-Rep1-T3-ITS"	"EP7-Pine-Rep2-T3-ITS"	"EP7-Pine-Rep3-T3-ITS"	"EP7-Syn-Extr-T3-ITS"	"EP7-Syn-Rep1-T3-ITS"	"EP7-Syn-Rep2-T3-ITS"	"EP7-Syn-Rep3-T3-ITS"	"EP7-Syn-Rep4-T3-ITS"	"EP9-DNAblank-T3-ITS"	"EP9-Pine-Rep1-T3-ITS"	"EP9-Pine-Rep2-T3-ITS"	"EP9-Pine-Rep3-T3-ITS"	"EP9-Syn-Extr-T3-ITS"	"EP9-Syn-Rep1-T3-ITS"	"EP9-Syn-Rep2-T3-ITS"	"EP9-Syn-Rep3-T3-ITS"	"EP9-Syn-Rep4-T3-ITS"	"GC1-7085-T3-ITS"	"GC1-7128-T3-ITS"	"GC1-7294-T3-ITS"	"GC1-7368-T3-ITS"	"GC2-7136-T3-ITS"	"GC2-7507-T3-ITS"	"GC5-7089-T3-ITS"	"GC8-7367-T3-ITS"	"GC8-7377-T3-ITS"	"GC8-7582-T3-ITS"	"GC9-7100-T3-ITS"	"GC9-7537-T3-ITS"	"GE1-7638-T3-ITS"	"GE1-7647-T3-ITS"	"GE2-7383-T3-ITS"	"GE2-7483-T3-ITS"	"GE2-7530-T3-ITS"	"GE6-7040-T3-ITS"	"GE6-7186-T3-ITS"	"GE7-7423-T3-ITS"	"GE7-7427-T3-ITS"	"GE7-7575-T3-ITS"	"GE7-7658-T3-ITS"	"GE8-7645-T3-ITS"	"GE9-7002-T3-ITS"	"GE9-7272-T3-ITS"	"GE9-7480-T3-ITS"	"GT1-7384-T3-ITS"	"GT1-7482-T3-ITS"	"GT2-7200-T3-ITS"	"GT2-7573-T3-ITS"	"GT5-7253-T3-ITS"	"GT5-7456-T3-ITS"	"GT6-7349-T3-ITS"	"GT6-7486-T3-ITS"	"GT8-7254-T3-ITS"	"GT8-7420-T3-ITS"	"RM1-7391-T3-ITS"	"RM1-7523-T3-ITS"	"RM1-7665-T3-ITS"	"RM10-7324-T3-ITS"	"RM10-7352-T3-ITS"	"RM3-7115-T3-ITS"	"RM3-7538-T3-ITS"	"RM3-7609-T3-ITS"	"RM4-7358-T3-ITS"	"RM4-7411-T3-ITS"	"RM6-7031-T3-ITS"	"RM6-7065-T3-ITS"	"AC1-7050-T3-ITS"	"AC1-7329-T3-ITS"	"AC2-7049-T3-ITS"	"AC2-7464-T3-ITS"	"AC7-7439-T3-ITS"	"AC7-7592-T3-ITS"	"AC8-7174-T3-ITS"	"AC8-7184-T3-ITS"	"AC9-7142-T3-ITS"	"AC9-7660-T3-ITS"	"BB1-7504-T3-ITS"	"BB2-7590-T3-ITS"	"BB3-7657-T3-ITS"	"BB5-7171-T3-ITS"	"BB5-7600-T3-ITS"	"BB7-7181-T3-ITS"	"BB7-7268-T3-ITS"	"BE2-7141-T3-ITS"	"BE2-7500-T3-ITS"	"BE3-7237-T3-ITS"	"BE3-7245-T3-ITS"	"BE4-7267-T3-ITS"	"BE4-7663-T3-ITS"	"BE5-7146-T3-ITS"	"BE5-7334-T3-ITS"	"BE7-7019-T3-ITS"	"BE7-7585-T3-ITS"	"BW2-7362-T3-ITS"	"BW2-7628-T3-ITS"	"BW3-7429-T3-ITS"	"BW6-7173-T3-ITS"	"BW7-7366-T3-ITS"	"BW7-7593-T3-ITS"	"CG2-7148-T3-ITS"	"CG2-7208-T3-ITS"	"CG3-7376-T3-ITS"	"CG3-7651-T3-ITS"	"CG4-7425-T3-ITS"	"CG6-7014-T3-ITS"	"CG6-7344-T3-ITS"	"CG7-7434-T3-ITS"	"CG7-7655-T3-ITS"	"CG8-7084-T3-ITS"	"CG8-7522-T3-ITS"	"CR10-7431-T3-ITS"	"CR4-7143-T3-ITS"	"CR4-7211-T3-ITS"	"CR7-7183-T3-ITS"	"CR7-7652-T3-ITS"	"CR9-7298-T3-ITS"	"CR9-7469-T3-ITS"	"EP8-Amp-Blank-T3-ITS"	"EP8-DNAblank-T3-ITS"	"EP8-Idx-Blank-T3-ITS"	"EP8-Pine-Rep1-T3-ITS"	"EP8-Pine-Rep2-T3-ITS"	"EP8-Pine-Rep3-T3-ITS"	"EP8-Syn-Extr-T3-ITS"	"EP8-Syn-Rep1-T3-ITS"	"EP8-Syn-Rep2-T3-ITS"	"EP8-Syn-Rep3-T3-ITS"	"EP8-Syn-Rep4-T3-ITS"	"GC2-7078-T3-ITS"	"GC2-7276-T3-ITS"	"GC5-7178-T3-ITS"	"GC5-7457-T3-ITS"	"GC8-7501-T3-ITS"	"GC9-7275-T3-ITS"	"GC9-7589-T3-ITS"	"GE1-7087-T3-ITS"	"GE1-7112-T3-ITS"	"GE2-7555-T3-ITS"	"GE6-7205-T3-ITS"	"GE6-7213-T3-ITS"	"GE8-7242-T3-ITS"	"GE8-7333-T3-ITS"	"GE9-7053-T3-ITS"	"GT1-7236-T3-ITS"	"GT1-7407-T3-ITS"	"GT2-7210-T3-ITS"	"GT2-7297-T3-ITS"	"GT5-7107-T3-ITS"	"GT5-7309-T3-ITS"	"GT6-7595-T3-ITS"	"GT6-7618-T3-ITS"	"GT8-7009-T3-ITS"	"GT8-7341-T3-ITS"	"RM1-7145-T3-ITS"	"RM10-7202-T3-ITS"	"RM10-7402-T3-ITS"	"RM3-7623-T3-ITS"	"RM4-7436-T3-ITS"	"RM4-7620-T3-ITS"	"RM6-7120-T3-ITS"	"RM6-7203-T3-ITS"
"b0a09a008179f72af220da2875b968a6"	0	0	6.63702130483839e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f73e22029a80433b3afe3af9548a0dfb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98357599079621e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7886f83327119ff847349aabd4dedbaf"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39725788140774e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2e7693e687f0115ac25ea8d07c995351"	0	0	0	9.9337055858795e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42160067804819e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29720150022668e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88086887005121e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"82bd5e7f1dd9dd70ed68d43beb1ab3b3"	2.60063529805138e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68867003725206e-05	0	0	0	0	0	2.57144767361129e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03856832752789e-05	0	0	5.02550443500766e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55189315905378e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4afbd8999bf4f859724dbac355caf075"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55774563052351e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3868618789342e-05	0	0	0	2.08342014250594e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86430493230221e-05	0	0	0	2.74771824897075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.12866858368707e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"a84e05f7bdc07a001e55579eeb9d32a5"	0	0	0	0	4.71037105948021e-05	3.22797579018157e-05	0	2.34685591712782e-05	0	0	0	8.09293175790928e-05	0	2.59215096687231e-05	0	0	6.003687979759e-05	0	0	2.41510892141236e-05	0	0	0	0	0	0	0	0	0	0	0	2.32547323380308e-05	0	0	0	3.04955527318933e-05	0	0	0	0	0	0	1.69888171111366e-05	0	0	0	1.26396283949252e-05	2.29637603157517e-05	0	0	0	2.28562286079985e-05	0	0	0	0	2.18217923329133e-05	0	0	1.46345746704782e-05	4.26376892808849e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68252729059265e-05	0	0	1.61423106103408e-05	0	0	2.06366829421306e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42482109590115e-05	0.000114922714474516	0	0	0	0	0	0	1.90071428842959e-05	0	1.2872166514346e-05	0	0	7.56467799687327e-05	0	0	0	0	0	0	1.40325930360918e-05	3.04195321475956e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49242148093453e-05	0	0	0	0	0	8.26211087752798e-05	0	0	0	0	0	0	0	0	2.13229358636551e-05	0	0	0	0	0	0	8.07992663426616e-06	1.40506667041351e-05	0	0	0	0	0	5.69569784955763e-05	0	6.52051653358474e-05	0	0	3.01143139356999e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51709385501134e-05	2.52076026129481e-05	0	0	0	0	0	1.75084843196933e-05	0	0	0	0	0	0	1.17179718534316e-05	0	3.56344717698624e-05	1.00156578117123e-05	0	0	0	0	0	0	0	0	0	0	0
"195bed0682e064769ea5978055c7761e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8539714488934e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3bda0ebf82c6eabd02fc5aefc23f06bc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.62572921035574e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98382193214337e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5e0cdb4d051bebd6e517eb79d81c9475"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51667295834906e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
