Sample Coleosporium_tussilaginis Dothistroma_septosporum Gremmenia_infestans Lophodermella_sulcigena Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
1 AC1-7230-T1-ITS 0 0.0103198100260597 5.78248600638386e-05 0 0.000107939738785832 0 0 2.6984934696458e-05 0
2 AC1-7329-T1-ITS 0 0.0076902767443535 9.60084487434894e-05 0 0.000643256606581379 0 0 6.72059141204426e-05 0
3 AC2-7049-T1-ITS 0 0.00137124663041224 0 0 0.000120402143158148 2.67560318129218e-05 0 2.67560318129218e-05 0
4 AC2-7291-T1-ITS 0 0.0074926439680538 7.00574471066274e-05 0 0.000399327448507776 0 0 0 0
5 AC2-7464-T1-ITS 0 0.0106907540072358 0.000651699930517287 0 0.000551069794187412 0 0 0 0
6 AC2-7474-T1-ITS 0 0.101847562218557 0.0012045290291496 0 6.17707194435694e-05 0 1.23541438887139e-05 0 0.000117364366942782
7 AC7-7032-T1-ITS 0 0.0216022533017806 0 0 0.000395422828672413 0 0 0 0
8 AC7-7439-T1-ITS 0 0.063314184255727 9.00628510038791e-05 0 0.000147960398077801 0.00018655876279375 1.92991823579741e-05 0.00018655876279375 0
9 AC7-7592-T1-ITS 0 0.00294379103791481 0.000756025355927322 0 0.000130158211460015 0 0 0 0
10 AC7-7611-T1-ITS 0 0.00505400439858596 0.000992490777326267 0 0 0 0 0 0
11 AC8-7174-T1-ITS 0 0.00353614728334082 0 0 8.98069151324652e-05 0 0 0 0
12 AC8-7184-T1-ITS 0 0.00635539810797543 0.000278629144608526 0 0.000358237471639533 0.000344969417134366 0 0 0
13 AC8-7453-T1-ITS 0 0.000933819563519856 0 0 4.02508432551662e-05 0 0 0 0
14 AC8-7541-T1-ITS 2.88915469112047e-05 0.0375474543658017 0.000404481656756866 0 0.00129434130162197 0.000138679425173783 0 0 0
15 AC9-7099-T1-ITS 0 0.0174141345219642 0.000211372586829634 0 0.000129790184895389 0 0 0 0
16 AC9-7346-T1-ITS 0 0.0156555992615495 0 0 0.000151505799305318 0 0.00012906049570453 2.24453036007878e-05 0
17 AC9-7660-T1-ITS 0 0.00578483496031817 5.33437650029339e-05 0 0 0 1.7781255000978e-05 0 0
18 BB1-7232-T1-ITS 0 0.029979385775823 0.000148538346442144 0 0.000688348434731888 0 0 0.000336928444368766 0
19 BB1-7238-T1-ITS 0 0.0613014010279216 0.000102871296138765 0 0.000269048005286002 5.34139422258975e-05 0 3.16527065042355e-05 0
20 BB1-7504-T1-ITS 0 0.0361676878070321 0.000669260915162554 0 0 0 0 0 0
21 BB2-7039-T1-ITS 0 0.0140721409887563 0 0 0.000650137774523713 0 0 0 0
22 BB2-7055-T1-ITS 0 0.00339570286450149 0.000743528618186557 0 4.59914609187561e-05 0 0 0.000789520079105313 0
23 BB2-7542-T1-ITS 0 0.0042074749521558 0.000197005516154452 0 8.44309354947653e-05 0 0 0 0
24 BB2-7590-T1-ITS 0 0.000791760413298936 0.000376086196316994 0 0 0 0 0 0
25 BB3-7126-T1-ITS 0 0.00986439346686072 0 0 0.000323422736618384 0 0 0.000154010826961135 0
26 BB3-7657-T1-ITS 0 0.0375915794861951 0 0 0.00079982084013181 0 0 0.000149299890157938 0
27 BB5-7171-T1-ITS 8.386280045845e-05 0.00179706000982393 0.00105427520576337 0 0 0 0 0.00124196814012276 0
28 BB5-7326-T1-ITS 0 0.0503157827633155 0.000191245509145633 0 0.000227673225173373 6.83019675520119e-05 0 0 0
29 BB5-7412-T1-ITS 0 0.0381980429896227 0.000498001265192403 0 0.000282649366730824 0 6.05677214423193e-05 0 0
30 BB5-7600-T1-ITS 0 0.00300497239732195 0 0 8.80936533416859e-05 0 0 0 0
31 BB7-7181-T1-ITS 3.6916867316677e-05 0.0303087480669918 0 0 0.00127158098535221 6.97318604870565e-05 0 0.000455308030239016 0
32 BB7-7224-T1-ITS 0 0.0206119069624153 0 0 9.62723351817622e-05 0 0 0 0
33 BB7-7227-T1-ITS 0 0.00261060513906113 0.000276463479174401 0 0.000181676000600321 0 0 0 0
34 BB7-7268-T1-ITS 0 0.00155702716830709 0.000229221234831564 0 0.000271151948520265 0.000262765805782525 0 0 0
35 BE2-7069-T1-ITS 1.21427305115247e-05 0.00400467252270083 0.000162712588854431 0 2.67140071253543e-05 0 0 0 0
36 BE2-7141-T1-ITS 0 0.0055059782062641 0.000217389318694568 0 0.000105954457851134 6.39380349101671e-05 0 0 0
37 BE2-7500-T1-ITS 0 0.0278305032575796 7.69507002513723e-05 0 0 0 0 0 0
38 BE2-7510-T1-ITS 0 0.0217986164488855 0.0001076095311299 0 0.000117858057904176 0 0 0 0
39 BE3-7156-T1-ITS 0 0.0997540627208 9.51138648839611e-05 0 5.4350779933692e-05 0 0 0.000122289254850807 0
40 BE3-7237-T1-ITS 0 0.00447806317780844 0.000544791108530172 0 0.000104767520871187 0 0 3.59202928701212e-05 0
41 BE3-7245-T1-ITS 0 0.0324584063926329 0 0 0.000575551123663182 0 0 0 0
42 BE3-7514-T1-ITS 0 0.00483407180540821 5.28051537830092e-05 0 0 0.000249624363337862 0 5.76056223087373e-05 0
43 BE4-7003-T1-ITS 0 0.0510286943423361 6.81870308267368e-05 0 0.000117777598700727 0 0 6.1988209842488e-05 0
