Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermella_conjuncta Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii
1 AC1-7050-T2-ITS 0 0 0.0820538635791593 6.82573472635203e-05 0 0.000157845115546891 0.00101106195634089 4.69269262436702e-05 0 8.53216840794004e-06
2 AC1-7230-T2-ITS 0 0 0.056664610724689 0.000175060406018007 0 2.44270333978614e-05 0.000246305920095103 0 0 0
3 AC1-7329-T2-ITS 0 0 0.00364111197954177 0 0 7.08387544657931e-06 4.25032526794759e-05 0 0 0
4 AC2-7049-T2-ITS 0 0 0.168451321145857 6.68722989860488e-05 0 5.85132616127927e-05 0.000677082027233744 6.68722989860488e-05 0 0
5 AC2-7291-T2-ITS 0 0 0.0551721182611677 0 0 1.87478071761249e-05 0.000420486532378802 0 0 0
6 AC2-7464-T2-ITS 0 0 0.00718002150666907 0.000233768142077598 0 0 8.01490772837478e-05 0 0 0
7 AC2-7474-T2-ITS 0 0 0.285045463070372 0.000277849169578294 0 0.000125032126310233 0.000354257691212325 0.000250064252620465 0 0
8 AC7-7032-T2-ITS 0 0 0.031328037414655 9.14195531989626e-05 0 0.000307939547617558 0.000230954660713169 0 0 0
9 AC7-7439-T2-ITS 0 0 0.108404925865279 0.00032300755927413 0 4.48621610102959e-05 0.000444135394001929 0 1.34586483030888e-05 0.000165989995738095
10 AC7-7592-T2-ITS 0 0 0.0623889126375233 0.000151866267689608 0 0.000202488356919477 0 0 0 0
11 AC7-7611-T2-ITS 0 0 0.0628876139805452 0.000180285572346597 0 1.20190381564398e-05 0.000220349032868063 0 0 6.0095190782199e-05
12 AC8-7174-T2-ITS 0 0 0.0691140278917145 0.000196882690730107 0 0.000270713699753897 0.000652173913043478 0 0 0
13 AC8-7184-T2-ITS 0 0 0.25425182923142 6.0470460180202e-05 0 4.91322488964141e-05 0.000427072625022676 0 0 0.0016478200399105
14 AC8-7453-T2-ITS 0 0 0.022982135546169 0.000104850064407897 0 1.99714408395994e-05 0.00217688705151633 0 0 0.000579171784348382
15 AC8-7541-T2-ITS 0 0 0.17650557031281 7.26849832824538e-05 0 6.60772575295035e-05 0.000310563110388666 1.98231772588511e-05 0 0.000218054949847362
16 AC9-7099-T2-ITS 0 0 0.169391616689651 0.000205253199063532 0 0.000391263910714858 0.0010326801577884 0 0 0
17 AC9-7142-T2-ITS 0 0 0.0225563909774436 9.51144464577002e-05 0 4.28015009059651e-05 0.000385213508153686 0 0 0.000118893058072125
18 AC9-7346-T2-ITS 0 0 0.0295256930872664 4.09591461773414e-05 0 5.26617593708675e-05 0.000947911668675615 0 0.000924506442288563 0.000111174825338498
19 AC9-7660-T2-ITS 0 0 0.0812375961785274 0.000106430266263484 0 0.000338072610484007 0.000294248383199043 0 0 0
20 BB1-7232-T2-ITS 0 0 0.118277480210456 6.63601459923212e-05 0 0.000180120396264872 0.000720481585059487 0 0 0.000255960563113239
21 BB1-7238-T2-ITS 0 0 0.340192653393481 0 0 4.07014211579554e-05 0.000827595563545094 5.08767764474443e-05 0 0.00080385306786962
22 BB1-7409-T2-ITS 0 0 0.0544375087402586 2.54262067913398e-05 0 2.96639079232298e-05 0.000135606436220479 0 0 0.000135606436220479
23 BB1-7504-T2-ITS 0 0 0.197145155946803 0.000191206398788395 0 2.27175919352549e-05 7.00459084670358e-05 0 0.000109801694353732 0.000492214491930522
24 BB2-7039-T2-ITS 0 0 0.0601844761983296 0.000188481428689229 0 0.000170811294749614 0.000653794955765765 0 0 0.000712695402231149
25 BB2-7055-T2-ITS 0 0 0.0629155762334012 0.000145391102064554 0 9.69274013763691e-05 9.20810313075506e-05 7.26955510322768e-05 0 0.00174953959484346
26 BB2-7542-T2-ITS 0 0 0.0946081926947152 0 0 0.000625940892163854 0 0 0 0
27 BB2-7590-T2-ITS 0 0 0.0388397117204511 0 0 8.96260484929643e-05 0 0 0 0.00205612699483859
28 BB3-7126-T2-ITS 0 0 0.0508694672072593 9.52492832491436e-05 0 1.58748805415239e-05 0.00653727580699955 3.49247371913526e-05 0 0.0209262675298368
29 BB3-7657-T2-ITS 0 0 0.38079673790861 7.54415215046057e-05 0 5.65811411284543e-06 0.00906052673270314 0 0 0.0262517634455652
30 BB5-7171-T2-ITS 0 0 0.0488544619856952 0.000169096377739721 0 2.51845668974053e-05 0.00179529984025789 0 0 0.00248247873702995
31 BB5-7326-T2-ITS 0 0 0.107856450947585 0 0 0.00034761006493356 0.00080645535064586 0 0 0.000180757233765451
32 BB5-7412-T2-ITS 0 0 0.204083140505305 3.02255836056435e-05 0 9.06767508169304e-05 0.000439950161371032 0 7.05263617465014e-05 0
33 BB5-7600-T2-ITS 0 0 0.091553557534365 0 0 0.00018307660230168 0.0063873392358586 0 0 9.15383011508399e-05
34 BB7-7181-T2-ITS 0 0 0.112918562384151 7.82359596543174e-05 0 9.0272261139597e-06 0.000640933054091139 1.20363014852796e-05 0 0.000689078260032257
