Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
1 AC1-7050-T3-ITS 0 0 0.00546532702222379 2.11152364026676e-05 0 0.000295613309637346 0 0 6.33457092080027e-05 0
2 AC1-7230-T3-ITS 0 0 0.295952296918247 9.65950253561942e-05 0 0.00136719112811844 0 0 0.000345512975312541 0
3 AC1-7329-T3-ITS 0 0 0.107648183556405 0 0 0.0012034641772579 5.62366437970982e-05 0 6.1860308176808e-05 0
4 AC2-7049-T3-ITS 0 0 0.00917132720878712 0 0 0.000167314753133279 0 0 0 0
5 AC2-7464-T3-ITS 0 0 0.122232081046032 0.000107255335952964 0 0.00173558634542068 0.000102380093409647 0 0.0171608537524742 0
6 AC7-7032-T3-ITS 0 0 0.149243779912557 4.59824730140362e-05 0 0.000387019147868138 0 0.000157106782797957 0 0
7 AC7-7439-T3-ITS 0 0 0.125517797450068 2.01575649661521e-05 0 0.000268767532882028 0 0 0.000819740975290185 0
8 AC7-7592-T3-ITS 0 0 0.0892025212386955 0.000116971572565822 0 0.000297441998810232 0.000100261347913561 0 0 0
9 AC7-7611-T3-ITS 0 0 0.0982942855246565 0.000252206809583859 0 0.00220349107320635 0.000119466383487091 0 0.0017123514966483 0
10 AC8-7174-T3-ITS 0.000190483328024782 0 0.110349177799012 3.74721301032357e-05 0 0.00142394094392296 5.30855176462506e-05 0 0.000418438786152799 0
11 AC8-7184-T3-ITS 0 0 0.0354742231459421 2.78805697774624e-05 0 0.000390327976884473 1.7742180767476e-05 7.60379175748973e-06 7.85725148273939e-05 0
12 AC8-7453-T3-ITS 0.000209130643913253 0 0.0706286467156032 0 0 0.00195537152058891 0 0 5.22826609783132e-05 0
13 AC8-7541-T3-ITS 1.5701236864934e-05 0 0.141260102764595 0 0 0.00218247192422583 0 0 0.00106768410681551 0
14 AC9-7099-T3-ITS 0 0 0.290609280430397 0.000134498991257566 0 0.00360995292535306 0 0 0.000145258910558171 0
15 AC9-7142-T3-ITS 0 0 0.0257251265646634 0.000228996607327187 0 0.00125419680320736 4.22762967373268e-05 0 0.0022688279249032 0
16 AC9-7346-T3-ITS 0 0 0.147134319877587 0.000114637173346359 0 0.000956971186195691 0 9.96844985620511e-05 0.00258681273768523 0
17 AC9-7660-T3-ITS 0 0 0.102128748979582 5.31341928191554e-05 0 0.00056032421518382 0 0 0.000188384865449733 0
18 BB1-7232-T3-ITS 0 0 0.212869219107162 7.04056775138347e-05 0 0.00257684779700635 1.87748473370226e-05 0 0.000211217032541504 0
19 BB1-7238-T3-ITS 0 0 0.170879750312694 4.67579225455013e-05 0 0.0025103159666616 0.000122739546681941 0 0.00097607163313734 0
20 BB1-7409-T3-ITS 0 0 0.12574362249185 0 0 0.000789836319026653 7.98238833058851e-05 0 0.000226867878869358 0
21 BB1-7504-T3-ITS 0 0 0.0512924088076514 4.20774477503293e-05 0 3.78697029752963e-05 0 0 0.00450649465406026 0
22 BB2-7039-T3-ITS 0 0 0.0965055992327902 0 0 0.000569413504090787 0 0 0.000264727330849225 0
